"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.017,              ,  0.000000    , 0.8034338E-02,  6.214722    ,  0.000000    ,  6.214722    , 0.8034338E-02,  6.206688    ,  6.241435    , 0.3474702E-01, 0.5583862    ,  6.222757    ,  6.241435    ,  6.222757    , 0.3474702E-01, 0.5567151    , 0.5583862    
         0.033,              ,  0.000000    , 0.8474049E-01,  18.73244    ,  0.000000    ,  18.73244    , 0.8474049E-01,  18.64770    ,  19.01582    , 0.3681256    ,  1.956327    ,  18.81718    ,  25.25726    ,  25.03993    , 0.4028726    ,  1.595077    ,  1.608920    
         0.050,              ,  0.000000    , 0.1656047    ,  31.79039    ,  0.000000    ,  31.79039    , 0.1656047    ,  31.62478    ,  31.91723    , 0.2924491    , 0.9151619    ,  31.95599    ,  57.17449    ,  56.99593    , 0.6953216    ,  1.216140    ,  1.219950    
         0.067,              ,  0.000000    , 0.2149596    ,  44.66027    ,  0.000000    ,  44.66027    , 0.2149596    ,  44.44531    ,  44.56252    , 0.1172123    , 0.2611960    ,  44.87523    ,  101.7370    ,  101.8712    , 0.8125339    , 0.7976094    , 0.7976094    
         0.083,              ,  0.000000    , 0.2905791    ,  57.38377    ,  0.000000    ,  57.38377    , 0.2905791    ,  57.09319    ,  57.52638    , 0.4331909    , 0.7510980    ,  57.67435    ,  159.2634    ,  159.5455    ,  1.245725    , 0.7807959    , 0.7807959    
         0.100,              ,  0.000000    , 0.3985840    ,  84.35623    ,  0.000000    ,  84.35623    , 0.3985840    ,  83.95765    ,  84.34217    , 0.3845201    , 0.4536852    ,  84.75481    ,  243.6056    ,  244.3003    ,  1.630245    , 0.6673118    , 0.6673118    
         0.117,              ,  0.000000    , 0.5559776    ,  117.7413    ,  0.000000    ,  117.7413    , 0.5559776    ,  117.1853    ,  117.6925    , 0.5071916    , 0.4287434    ,  118.2972    ,  361.2980    ,  362.5976    ,  2.137437    , 0.5894790    , 0.5894790    
         0.133,              ,  0.000000    , 0.7160710    ,  151.1872    ,  0.000000    ,  151.1872    , 0.7160710    ,  150.4711    ,  150.9715    , 0.5003842    , 0.3294098    ,  151.9032    ,  512.2695    ,  514.5008    ,  2.637821    , 0.5126952    , 0.5126952    
         0.150,              ,  0.000000    , 0.8777752    ,  184.7352    ,  0.000000    ,  184.7352    , 0.8777752    ,  183.8574    ,  184.2501    , 0.3926565    , 0.2115459    ,  185.6130    ,  696.5196    ,  700.1138    ,  3.030477    , 0.4328550    , 0.4328550    
         0.167,              ,  0.000000    ,  1.039458    ,  218.1308    ,  0.000000    ,  218.1308    ,  1.039458    ,  217.0913    ,  217.5073    , 0.4160386    , 0.1898244    ,  219.1702    ,  914.0269    ,  919.2840    ,  3.446516    , 0.3749131    , 0.3749131    
