"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1067    ,  124.6171    ,  0.000000    ,  124.6171    ,  117.1067    ,  7.510424    ,  9.166512    ,  1.656087    , 0.6851155    ,  241.7238    ,  278.5233    ,  241.7238    ,  1.656087    , 0.5945957    , 0.6851155    
         0.167,              ,  0.000000    ,  50.06276    ,  619.5395    ,  0.000000    ,  619.5395    ,  50.06276    ,  569.4768    ,  574.1295    ,  4.652755    , 0.6948535    ,  669.6023    ,  852.6528    ,  911.3261    ,  6.308842    , 0.6922706    , 0.6922706    
         0.250,              ,  0.000000    ,  28.39270    ,  1186.524    ,  0.000000    ,  1186.524    ,  28.39270    ,  1158.131    ,  1158.623    , 0.4920515    , 0.4050085E-01,  1214.917    ,  2011.276    ,  2126.243    ,  6.800894    , 0.3198550    , 0.3198550    
         0.333,              ,  0.000000    ,  18.23676    ,  1744.930    ,  0.000000    ,  1744.930    ,  18.23676    ,  1726.694    ,  1728.598    ,  1.904781    , 0.1080318    ,  1763.167    ,  3739.874    ,  3889.410    ,  8.705674    , 0.2238302    , 0.2238302    
         0.417,              ,  0.000000    ,  12.18877    ,  2910.427    ,  0.000000    ,  2910.427    ,  12.18877    ,  2898.238    ,  2903.113    ,  4.874245    , 0.1667768    ,  2922.616    ,  6642.987    ,  6812.026    ,  13.57992    , 0.1993521    , 0.1993521    
         0.500,              ,  0.000000    ,  8.505002    ,  5244.925    ,  0.000000    ,  5244.925    ,  8.505002    ,  5236.420    ,  5242.407    ,  5.986298    , 0.1139503    ,  5253.430    ,  11885.39    ,  12065.46    ,  19.56622    , 0.1621672    , 0.1621672    
         0.583,              ,  0.000000    ,  6.171767    ,  12100.69    ,  0.000000    ,  12100.69    ,  6.171767    ,  12094.52    ,  12120.83    ,  26.30593    , 0.2172811    ,  12106.87    ,  24006.22    ,  24172.32    ,  45.87215    , 0.1897714    , 0.1897714    
         0.667,              ,  0.000000    ,  4.686322    ,  20427.36    ,  0.000000    ,  20427.36    ,  4.686322    ,  20422.67    ,  20437.08    ,  14.40799    , 0.7051662E-01,  20432.05    ,  44443.30    ,  44604.37    ,  60.28014    , 0.1351440    , 0.1351440    
         0.750,              ,  0.000000    ,  3.543221    ,  24887.39    ,  0.000000    ,  24887.39    ,  3.543221    ,  24883.85    ,  24877.05    , -6.801738    ,-0.2732616E-01,  24890.94    ,  69320.35    ,  69495.30    ,  53.47840    , 0.7695254E-01, 0.7695254E-01
