"M08_5m_DEV_002 [q:\TUFLOW\Tutorial_Models_QGIS_GPKG\Module_08\Complete_Model\TUFLOW\runs\M08_~s1~_~s2~_002.tcf]","Time (h)","H Loc1_P [M08_5m_DEV_002]"
           1,        0.000000,         39.0108
           2,        0.016667,         39.0108
           3,        0.033333,         39.0108
           4,        0.050000,         39.0108
           5,        0.066667,         39.0108
           6,        0.083333,         39.0108
           7,        0.100000,         39.0108
           8,        0.116667,         39.0108
           9,        0.133333,         39.0108
          10,        0.150000,         39.0108
          11,        0.166667,         39.0108
          12,        0.183333,         39.0108
          13,        0.200000,         39.0108
          14,        0.216667,         39.0108
          15,        0.233333,         39.0108
          16,        0.250000,         39.0108
          17,        0.266667,         39.0108
          18,        0.283333,         39.0108
          19,        0.300000,         39.0108
          20,        0.316667,         39.0108
          21,        0.333333,         39.0108
          22,        0.350000,         39.0108
          23,        0.366667,         39.0108
          24,        0.383333,         39.0108
          25,        0.400000,         39.0108
          26,        0.416667,         39.0108
          27,        0.433333,         39.0108
          28,        0.450000,         39.0108
          29,        0.466667,         39.0108
          30,        0.483333,         39.0108
          31,        0.500000,         39.0108
          32,        0.516667,         39.0108
          33,        0.533333,         39.0108
          34,        0.550000,         39.0108
          35,        0.566667,         39.0108
          36,        0.583333,         39.0108
          37,        0.600000,         39.0108
          38,        0.616667,         39.0108
          39,        0.633333,         39.0108
          40,        0.650000,         39.0711
          41,        0.666667,         39.1436
          42,        0.683333,         39.1642
          43,        0.700000,         40.8107
          44,        0.716667,         41.5030
          45,        0.733333,         41.8437
          46,        0.750000,         42.0369
          47,        0.766667,         42.1559
          48,        0.783333,         42.2398
          49,        0.800000,         42.3209
          50,        0.816667,         42.4347
          51,        0.833333,         42.5778
          52,        0.850000,         42.7180
          53,        0.866667,         42.8436
          54,        0.883333,         42.9431
          55,        0.900000,         43.0179
          56,        0.916667,         43.0710
          57,        0.933333,         43.1098
          58,        0.950000,         43.1507
          59,        0.966667,         43.1761
          60,        0.983333,         43.1990
          61,        1.000000,         43.2131
          62,        1.016667,         43.2248
          63,        1.033333,         43.2326
          64,        1.050000,         43.2387
          65,        1.066667,         43.2427
          66,        1.083333,         43.2460
          67,        1.100000,         43.2491
          68,        1.116667,         43.2524
          69,        1.133333,         43.2544
          70,        1.150000,         43.2549
          71,        1.166667,         43.2542
          72,        1.183333,         43.2527
          73,        1.200000,         43.2504
