"Time (h)    ","1D and 2D:  ","H Vol In    ","H Vol Out   ","Q Vol In    ","Q Vol Out   ","Tot Vol In  ","Tot Vol Out ","Vol I-O     ","dVol        ","Vol Err     ","Q ME (%)    ","Vol I+O     ","Tot Vol     ","Cum Vol I+O ","Cum Vol Err ","Cum ME (%)  ","Cum Q ME (%)"
         0.000,              ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    ,  269.3568    ,  0.000000    ,  0.000000    ,  0.000000    ,  0.000000    
         0.083,              ,  0.000000    ,  117.1067    ,  129.5147    ,  0.000000    ,  129.5147    ,  117.1067    ,  12.40804    ,  14.15423    ,  1.746190    , 0.7080445    ,  246.6215    ,  283.5110    ,  246.6215    ,  1.746190    , 0.6159160    , 0.7080445    
         0.167,              ,  0.000000    ,  50.06305    ,  620.1861    ,  0.000000    ,  620.1861    ,  50.06305    ,  570.1230    ,  574.2871    ,  4.164096    , 0.6212759    ,  670.2491    ,  857.7981    ,  916.8706    ,  5.910285    , 0.6446151    , 0.6446151    
         0.250,              ,  0.000000    ,  28.39246    ,  1178.675    ,  0.000000    ,  1178.675    ,  28.39246    ,  1150.282    ,  1151.029    , 0.7468102    , 0.6186980E-01,  1207.067    ,  2008.827    ,  2123.938    ,  6.657096    , 0.3134317    , 0.3134317    
         0.333,              ,  0.000000    ,  18.23667    ,  1758.982    ,  0.000000    ,  1758.982    ,  18.23667    ,  1740.746    ,  1742.853    ,  2.107012    , 0.1185567    ,  1777.219    ,  3751.680    ,  3901.157    ,  8.764108    , 0.2246541    , 0.2246541    
         0.417,              ,  0.000000    ,  12.18880    ,  2911.296    ,  0.000000    ,  2911.296    ,  12.18880    ,  2899.107    ,  2903.192    ,  4.084855    , 0.1397255    ,  2923.485    ,  6654.872    ,  6824.642    ,  12.84896    , 0.1882731    , 0.1882731    
         0.500,              ,  0.000000    ,  8.504992    ,  5185.287    ,  0.000000    ,  5185.287    ,  8.504992    ,  5176.782    ,  5185.547    ,  8.764768    , 0.1687547    ,  5193.792    ,  11840.42    ,  12018.43    ,  21.61373    , 0.1798382    , 0.1798382    
         0.583,              ,  0.000000    ,  6.171581    ,  12298.46    ,  0.000000    ,  12298.46    ,  6.171581    ,  12292.29    ,  12316.59    ,  24.30443    , 0.1975226    ,  12304.63    ,  24157.01    ,  24323.06    ,  45.91816    , 0.1887844    , 0.1887844    
         0.667,              ,  0.000000    ,  4.686424    ,  20429.16    ,  0.000000    ,  20429.16    ,  4.686424    ,  20424.48    ,  20436.32    ,  11.84155    , 0.5795065E-01,  20433.85    ,  44593.33    ,  44756.91    ,  57.75971    , 0.1290520    , 0.1290520    
         0.750,              ,  0.000000    ,  3.543259    ,  24823.32    ,  0.000000    ,  24823.32    ,  3.543259    ,  24819.78    ,  24821.96    ,  2.179318    , 0.8778064E-02,  24826.86    ,  69415.28    ,  69583.78    ,  59.93903    , 0.8613937E-01, 0.8613937E-01
         0.833,              ,  0.000000    ,  2.729286    ,  26842.65    ,  0.000000    ,  26842.65    ,  2.729286    ,  26839.92    ,  26839.99    , 0.6709803E-01, 0.2499426E-03,  26845.38    ,  96255.27    ,  96429.15    ,  60.00612    , 0.6222819E-01, 0.6222819E-01
         0.917,              ,  0.000000    ,  2.140586    ,  27506.27    ,  0.000000    ,  27506.27    ,  2.140586    ,  27504.13    ,  27503.72    ,-0.4092057    ,-0.1487566E-02,  27508.41    ,  123759.0    ,  123937.6    ,  59.59692    , 0.4808624E-01, 0.4808624E-01
         1.000,              ,  0.000000    ,  510.2012    ,  27604.64    ,  0.000000    ,  27604.64    ,  510.2012    ,  27094.44    ,  27095.06    , 0.6204291    , 0.2206767E-02,  28114.84    ,  150854.0    ,  152052.4    ,  60.21735    , 0.3960302E-01, 0.3960302E-01
         1.083,              ,  0.000000    ,  10574.90    ,  27145.87    ,  0.000000    ,  27145.87    ,  10574.90    ,  16570.97    ,  16570.24    ,-0.7359676    ,-0.1951094E-02,  37720.77    ,  167424.3    ,  189773.2    ,  59.48138    , 0.3134341E-01, 0.3134341E-01
         1.167,              ,  0.000000    ,  21166.48    ,  25681.77    ,  0.000000    ,  25681.77    ,  21166.48    ,  4515.283    ,  4514.027    , -1.256567    ,-0.2682207E-02,  46848.25    ,  171938.3    ,  236621.4    ,  58.22481    , 0.2460674E-01, 0.2460674E-01
         1.250,              ,  0.000000    ,  25094.45    ,  23386.74    ,  0.000000    ,  23386.74    ,  25094.45    , -1707.712    , -1708.866    , -1.154079    ,-0.2380469E-02,  48481.18    ,  170229.4    ,  285102.6    ,  57.07073    , 0.2001761E-01, 0.2001761E-01
