iStep,tEnd,dtStar,dt,Nu,Nc,Nd,Eff
100,         15.990,0.369478,0.366748,0.0189514,0.0750427,0.00012207,99.7904
200,        123.380,1.71297,1.66531,0.328491,1.00734,0.0570984,96.8177
300,        260.122,1.2576,1.2462,0.388626,1.00153,0.103958,96.9493
400,        373.819,1.06327,1.04956,0.405502,1.0016,0.148117,97.2689
500,        471.587,0.942424,0.934724,0.416519,1.00092,0.185699,97.4684
600,        560.935,0.87289,0.868122,0.412125,1.00063,0.212051,97.6737
700,        642.836,0.744706,0.715177,0.364532,1.00204,0.206299,97.8228
800,        709.976,0.645031,0.626521,0.31871,1.00105,0.189682,97.8333
900,        770.885,0.593265,0.569671,0.297287,1.00061,0.183319,97.9117
1000,        827.752,0.561015,0.556739,0.283661,1.00047,0.180756,97.9699
1100,        881.791,0.538688,0.535563,0.272812,1.00035,0.179474,98.0046
1200,        934.026,0.521162,0.519481,0.255844,1.00029,0.180695,98.0419
1300,        984.851,0.506821,0.502123,0.243286,1.00026,0.184372,98.0892
1400,       1034.311,0.494108,0.491276,0.234604,1.00024,0.187424,98.1273
1500,       1082.400,0.482958,0.48,0.225525,1.00023,0.189026,98.1475
1600,       1129.802,0.472918,0.463533,0.21489,1.00018,0.190384,98.1925
1700,       1176.279,0.46392,0.456182,0.203613,1.00018,0.191101,98.234
1800,       1221.870,0.455781,0.453926,0.197174,1.00017,0.195419,98.2686
1900,       1266.716,0.448175,0.447761,0.194366,1.00017,0.202881,98.3032
2000,       1310.820,0.440508,0.437142,0.191055,1.00017,0.209442,98.336
2100,       1354.271,0.433249,0.42881,0.187241,1.00017,0.215179,98.3724
2200,       1397.040,0.426461,0.425349,0.183304,1.00015,0.219727,98.4072
2300,       1438.879,0.420055,0.373692,0.18013,1.00014,0.223663,98.4227
2400,       1480.230,0.414263,0.411882,0.182617,1.00014,0.227158,98.4436
2500,       1520.838,0.408825,0.407937,0.186661,1.00012,0.231567,98.455
2600,       1561.208,0.403693,0.402685,0.193954,1.00012,0.245285,98.4791
2700,       1601.118,0.398649,0.393367,0.192734,1.00014,0.256989,98.5042
2800,       1640.451,0.393555,0.391579,0.194138,1.00012,0.267441,98.5235
2900,       1679.229,0.388655,0.385363,0.193848,1.00012,0.276718,98.5384
3000,       1717.708,0.383887,0.377831,0.192459,1.00012,0.285034,98.5627
3100,       1755.537,0.379271,0.376803,0.190643,1.00012,0.292419,98.5753
3200,       1792.951,0.374784,0.371006,0.188202,1.00012,0.298508,98.5893
3300,       1828.962,0.341726,0.341077,0.182602,0.922272,0.300369,98.6073
3400,       1860.921,0.307627,0.306106,0.173447,0.838715,0.300262,98.6119
3500,       1890.307,0.283551,0.282794,0.16803,0.781494,0.300217,98.6281
3600,       1917.389,0.264742,0.261062,0.16362,0.737335,0.300186,98.6334
3700,       1943.021,0.250316,0.24986,0.15979,0.704224,0.300156,98.6469
3800,       1967.365,0.239205,0.238389,0.15654,0.679398,0.30014,98.6573
3900,       1990.620,0.229227,0.228611,0.153793,0.656982,0.300125,98.6655
4000,       2013.048,0.220829,0.21912,0.151123,0.63855,0.300095,98.6772
4100,       2034.599,0.213497,0.207745,0.148651,0.622498,0.300095,98.6837
4200,       2055.443,0.206819,0.206281,0.159195,0.607666,0.300095,98.6896
4300,       2075.759,0.200809,0.200341,0.195694,0.594055,0.300079,98.6995
4400,       2095.419,0.195758,0.190889,0.220413,0.582657,0.300034,98.7047
4500,       2114.736,0.193335,0.192613,0.245972,0.578552,0.300034,98.7103
4600,       2133.902,0.191147,0.190495,0.257965,0.574753,0.300034,98.7194
4700,       2152.828,0.188992,0.188747,0.236069,0.570541,0.300034,98.7269
4800,       2171.412,0.18672,0.186162,0.237747,0.565521,0.300034,98.7288
4900,       2189.931,0.184493,0.184476,0.247375,0.560349,0.300034,98.7379
5000,       2208.185,0.182163,0.18177,0.24617,0.554596,0.300034,98.7448
5100,       2226.120,0.179927,0.179601,0.239304,0.548904,0.300034,98.7475
5200,       2243.964,0.177673,0.17752,0.229828,0.542953,0.300034,98.7559
5300,       2261.569,0.175474,0.17388,0.212036,0.537033,0.300034,98.7634
5400,       2278.821,0.173373,0.168446,0.210266,0.531281,0.300034,98.7647
5500,       2295.994,0.171297,0.171228,0.214859,0.525513,0.300034,98.7714
